customer_id,generation_persona,preferred_category
C01018,Normal,Dining
C01019,Normal,Dining
C01020,Normal,Shopping
C01021,Dormant,Lifestyle
C01022,Normal,Shopping
C01023,Normal,Healthcare
C01024,Normal,Entertainment
C01025,Dormant,Travel
C01026,Normal,Grocery
C01027,Normal,Shopping
C01028,Dormant,Fuel
C01029,Engaged,Electronics
C01030,Normal,Travel
C01031,Normal,Lifestyle
C01032,Dormant,Healthcare
C01033,Normal,Healthcare
C01034,Engaged,Dining
C01035,Dormant,Lifestyle
C01036,Normal,Entertainment
C01037,Normal,Electronics
C01038,Engaged,Travel
C01039,Engaged,Electronics
C01040,Normal,Fuel
C01041,Normal,Electronics
C01042,Dormant,Fuel
C01043,Normal,Lifestyle
C01044,Normal,Electronics
C01045,Engaged,Entertainment
C01046,Normal,Entertainment
C01047,Engaged,Dining
C01048,Normal,Fuel
C01049,Engaged,Healthcare
C01050,Normal,Healthcare
C01051,Normal,Lifestyle
C01052,Normal,Dining
C01053,Engaged,Fuel
C01054,Normal,Electronics
C01055,Normal,Shopping
C01056,Engaged,Fuel
C01057,Engaged,Fuel
C01058,Normal,Lifestyle
C01059,Normal,Healthcare
C01060,Dormant,Dining
C01061,Engaged,Healthcare
C01062,Normal,Grocery
C01063,Normal,Healthcare
C01064,Normal,Grocery
C01065,Normal,Electronics
C01066,Dormant,Grocery
C01067,Normal,Electronics
C01068,Dormant,Healthcare
C01069,Normal,Entertainment
C01070,Dormant,Travel
C01071,Dormant,Dining
C01072,Dormant,Shopping
C01073,Normal,Entertainment
C01074,Dormant,Healthcare
C01075,Engaged,Dining
C01076,Normal,Healthcare
C01077,Normal,Dining
C01078,Normal,Entertainment
C01079,Normal,Shopping
C01080,Engaged,Grocery
C01081,Engaged,Dining
C01082,Engaged,Electronics
C01083,Normal,Travel
C01084,Dormant,Healthcare
C01085,Normal,Grocery
C01086,Normal,Healthcare
C01087,Dormant,Lifestyle
C01088,Normal,Healthcare
C01089,Normal,Entertainment
C01090,Normal,Shopping
C01091,Engaged,Grocery
C01092,Normal,Grocery
C01093,Normal,Healthcare
C01094,Normal,Entertainment
C01095,Normal,Entertainment
C01096,Engaged,Travel
C01097,Normal,Travel
C01098,Engaged,Healthcare
C01099,Dormant,Lifestyle
C01100,Engaged,Grocery
C01101,Normal,Shopping
C01102,Normal,Dining
C01103,Normal,Dining
C01104,Normal,Electronics
C01105,Engaged,Grocery
C01106,Normal,Fuel
C01107,Dormant,Travel
C01108,Normal,Dining
C01109,Normal,Electronics
C01110,Dormant,Grocery
C01111,Normal,Fuel
C01112,Dormant,Electronics
C01113,Normal,Healthcare
C01114,Normal,Entertainment
C01115,Engaged,Fuel
C01116,Engaged,Dining
C01117,Normal,Healthcare
C01118,Dormant,Grocery
C01119,Engaged,Shopping
C01120,Dormant,Dining
C01121,Normal,Healthcare
C01122,Normal,Lifestyle
C01123,Dormant,Entertainment
C01124,Dormant,Fuel
C01125,Normal,Grocery
C01126,Normal,Healthcare
C01127,Engaged,Grocery
C01128,Normal,Dining
C01129,Normal,Travel
C01130,Normal,Dining
C01131,Normal,Shopping
C01132,Engaged,Entertainment
C01133,Normal,Entertainment
C01134,Normal,Electronics
C01135,Normal,Travel
C01136,Normal,Lifestyle
C01137,Dormant,Fuel
C01138,Dormant,Entertainment
C01139,Normal,Travel
C01140,Engaged,Shopping
C01141,Dormant,Healthcare
C01142,Dormant,Dining
C01143,Dormant,Entertainment
C01144,Normal,Grocery
C01145,Engaged,Grocery
C01146,Normal,Shopping
C01147,Normal,Shopping
C01148,Normal,Lifestyle
C01149,Normal,Fuel
C01150,Normal,Entertainment
C01151,Normal,Shopping
C01152,Normal,Electronics
C01153,Normal,Healthcare
C01154,Normal,Healthcare
C01155,Engaged,Dining
C01156,Dormant,Dining
C01157,Normal,Shopping
C01158,Normal,Shopping
C01159,Normal,Dining
C01160,Normal,Lifestyle
C01161,Normal,Lifestyle
C01162,Engaged,Shopping
C01163,Dormant,Electronics
C01164,Engaged,Grocery
C01165,Dormant,Grocery
C01166,Normal,Healthcare
C01167,Engaged,Dining
C01168,Normal,Fuel
C01169,Normal,Shopping
C01170,Dormant,Lifestyle
C01171,Normal,Grocery
C01172,Normal,Shopping
C01173,Normal,Dining
C01174,Dormant,Grocery
C01175,Normal,Fuel
C01176,Normal,Fuel
C01177,Normal,Lifestyle
C01178,Normal,Entertainment
C01179,Normal,Travel
C01180,Normal,Dining
C01181,Dormant,Shopping
C01182,Normal,Dining
C01183,Normal,Shopping
C01184,Normal,Shopping
C01185,Normal,Healthcare
C01186,Normal,Shopping
C01187,Dormant,Fuel
C01188,Normal,Grocery
C01189,Normal,Grocery
C01190,Dormant,Dining
C01191,Normal,Dining
C01192,Normal,Travel
C01193,Normal,Electronics
C01194,Engaged,Travel
C01195,Engaged,Lifestyle
C01196,Normal,Shopping
C01197,Dormant,Lifestyle
C01198,Engaged,Fuel
C01199,Dormant,Shopping
C01200,Normal,Travel
C01201,Dormant,Healthcare
C01202,Normal,Grocery
C01203,Dormant,Dining
C01204,Dormant,Electronics
C01205,Dormant,Healthcare
C01206,Normal,Electronics
C01207,Engaged,Healthcare
C01208,Normal,Fuel
C01209,Normal,Shopping
C01210,Engaged,Healthcare
C01211,Dormant,Grocery
C01212,Engaged,Grocery
C01213,Dormant,Electronics
C01214,Normal,Grocery
C01215,Dormant,Travel
C01216,Dormant,Travel
C01217,Normal,Healthcare
C01218,Normal,Fuel
C01219,Engaged,Grocery
C01220,Dormant,Entertainment
C01221,Dormant,Grocery
C01222,Normal,Fuel
C01223,Engaged,Fuel
C01224,Normal,Electronics
C01225,Engaged,Travel
C01226,Dormant,Fuel
C01227,Normal,Lifestyle
C01228,Dormant,Travel
C01229,Dormant,Grocery
C01230,Dormant,Travel
C01231,Normal,Electronics
C01232,Normal,Travel
C01233,Dormant,Grocery
C01234,Normal,Shopping
C01235,Dormant,Electronics
C01236,Normal,Dining
C01237,Engaged,Entertainment
C01238,Dormant,Entertainment
C01239,Dormant,Fuel
C01240,Engaged,Fuel
C01241,Normal,Electronics
C01242,Engaged,Entertainment
C01243,Normal,Grocery
C01244,Normal,Lifestyle
C01245,Normal,Shopping
C01246,Engaged,Healthcare
C01247,Normal,Lifestyle
C01248,Normal,Grocery
C01249,Engaged,Travel
C01250,Normal,Shopping
C01251,Normal,Dining
C01252,Normal,Electronics
C01253,Normal,Fuel
C01254,Engaged,Lifestyle
C01255,Engaged,Grocery
C01256,Dormant,Entertainment
C01257,Dormant,Travel
C01258,Dormant,Dining
C01259,Dormant,Electronics
C01260,Normal,Electronics
C01261,Dormant,Fuel
C01262,Normal,Dining
C01263,Normal,Fuel
C01264,Dormant,Electronics
C01265,Normal,Grocery
C01266,Normal,Dining
C01267,Normal,Travel
C01268,Normal,Dining
C01269,Normal,Electronics
C01270,Dormant,Healthcare
C01271,Normal,Shopping
C01272,Engaged,Electronics
C01273,Normal,Dining
C01274,Normal,Grocery
C01275,Normal,Fuel
C01276,Normal,Healthcare
C01277,Normal,Entertainment
C01278,Normal,Healthcare
C01279,Normal,Grocery
C01280,Normal,Entertainment
C01281,Normal,Lifestyle
C01282,Normal,Lifestyle
C01283,Engaged,Entertainment
C01284,Normal,Shopping
C01285,Normal,Grocery
C01286,Normal,Travel
C01287,Dormant,Shopping
C01288,Normal,Healthcare
C01289,Dormant,Lifestyle
C01290,Normal,Shopping
C01291,Normal,Shopping
C01292,Dormant,Healthcare
C01293,Normal,Travel
C01294,Dormant,Dining
C01295,Dormant,Dining
C01296,Normal,Dining
C01297,Dormant,Healthcare
C01298,Dormant,Dining
C01299,Normal,Fuel
C01300,Engaged,Grocery
C01301,Normal,Grocery
C01302,Dormant,Healthcare
C01303,Dormant,Lifestyle
C01304,Dormant,Shopping
C01305,Normal,Fuel
C01306,Engaged,Dining
C01307,Normal,Lifestyle
C01308,Normal,Shopping
C01309,Engaged,Lifestyle
C01310,Engaged,Shopping
C01311,Engaged,Electronics
C01312,Engaged,Grocery
C01313,Normal,Electronics
C01314,Normal,Grocery
C01315,Normal,Fuel
C01316,Normal,Dining
C01317,Dormant,Dining
C01318,Normal,Shopping
C01319,Normal,Lifestyle
C01320,Normal,Grocery
C01321,Normal,Electronics
C01322,Normal,Fuel
C01323,Normal,Entertainment
C01324,Normal,Shopping
C01325,Normal,Travel
C01326,Normal,Grocery
C01327,Normal,Shopping
C01328,Normal,Shopping
C01329,Normal,Grocery
C01330,Normal,Dining
C01331,Normal,Lifestyle
C01332,Engaged,Fuel
C01333,Normal,Electronics
C01334,Normal,Electronics
C01335,Normal,Travel
C01336,Normal,Fuel
C01337,Engaged,Shopping
C01338,Engaged,Healthcare
C01339,Normal,Grocery
C01340,Engaged,Entertainment
C01341,Normal,Healthcare
C01342,Normal,Entertainment
C01343,Dormant,Healthcare
C01344,Normal,Electronics
C01345,Engaged,Travel
C01346,Normal,Shopping
C01347,Normal,Dining
C01348,Normal,Fuel
C01349,Dormant,Dining
C01350,Normal,Dining
C01351,Engaged,Dining
C01352,Engaged,Electronics
C01353,Dormant,Shopping
C01354,Dormant,Entertainment
C01355,Dormant,Electronics
C01356,Normal,Healthcare
C01357,Normal,Entertainment
C01358,Engaged,Entertainment
C01359,Normal,Grocery
C01360,Normal,Shopping
C01361,Dormant,Shopping
C01362,Normal,Fuel
C01363,Normal,Travel
C01364,Engaged,Travel
C01365,Normal,Grocery
C01366,Engaged,Healthcare
C01367,Dormant,Shopping
C01368,Engaged,Dining
C01369,Normal,Grocery
C01370,Normal,Lifestyle
C01371,Normal,Entertainment
C01372,Normal,Dining
C01373,Normal,Dining
C01374,Normal,Entertainment
C01375,Normal,Healthcare
C01376,Dormant,Dining
C01377,Normal,Electronics
C01378,Normal,Healthcare
C01379,Dormant,Dining
C01380,Normal,Travel
C01381,Dormant,Dining
C01382,Dormant,Grocery
C01383,Dormant,Travel
C01384,Normal,Lifestyle
C01385,Normal,Dining
C01386,Normal,Grocery
C01387,Normal,Healthcare
C01388,Dormant,Travel
C01389,Normal,Fuel
C01390,Normal,Healthcare
C01391,Normal,Dining
C01392,Engaged,Shopping
C01393,Normal,Fuel
C01394,Normal,Dining
C01395,Normal,Entertainment
C01396,Dormant,Entertainment
C01397,Normal,Shopping
C01398,Dormant,Healthcare
C01399,Normal,Dining
C01400,Dormant,Shopping
C01401,Normal,Travel
C01402,Normal,Electronics
C01403,Dormant,Grocery
C01404,Engaged,Electronics
C01405,Normal,Dining
C01406,Normal,Entertainment
C01407,Normal,Dining
C01408,Dormant,Fuel
C01409,Normal,Lifestyle
C01410,Dormant,Electronics
C01411,Normal,Dining
C01412,Normal,Shopping
C01413,Dormant,Healthcare
C01414,Normal,Travel
C01415,Engaged,Electronics
C01416,Normal,Fuel
C01417,Normal,Entertainment
C01418,Normal,Healthcare
C01419,Normal,Electronics
C01420,Normal,Fuel
C01421,Dormant,Dining
C01422,Normal,Fuel
C01423,Normal,Shopping
C01424,Normal,Travel
C01425,Engaged,Healthcare
C01426,Normal,Dining
C01427,Normal,Entertainment
C01428,Dormant,Lifestyle
C01429,Normal,Shopping
C01430,Engaged,Entertainment
C01431,Normal,Dining
C01432,Dormant,Electronics
C01433,Normal,Lifestyle
C01434,Normal,Electronics
C01435,Dormant,Travel
C01436,Engaged,Shopping
C01437,Normal,Electronics
C01438,Normal,Healthcare
C01439,Normal,Shopping
C01440,Dormant,Lifestyle
C01441,Engaged,Travel
C01442,Normal,Electronics
C01443,Normal,Entertainment
C01444,Dormant,Electronics
C01445,Dormant,Grocery
C01446,Normal,Shopping
C01447,Engaged,Healthcare
C01448,Normal,Healthcare
C01449,Dormant,Healthcare
C01450,Normal,Dining
C01451,Normal,Shopping
C01452,Dormant,Electronics
C01453,Dormant,Healthcare
C01454,Normal,Shopping
C01455,Dormant,Electronics
C01456,Engaged,Grocery
C01457,Normal,Travel
C01458,Dormant,Lifestyle
C01459,Engaged,Entertainment
C01460,Engaged,Grocery
C01461,Normal,Fuel
C01462,Normal,Dining
C01463,Engaged,Entertainment
C01464,Normal,Electronics
C01465,Normal,Fuel
C01466,Normal,Lifestyle
C01467,Dormant,Electronics
C01468,Normal,Grocery
C01469,Normal,Healthcare
C01470,Engaged,Healthcare
C01471,Normal,Electronics
C01472,Normal,Healthcare
C01473,Dormant,Electronics
C01474,Dormant,Healthcare
C01475,Normal,Dining
C01476,Dormant,Shopping
C01477,Engaged,Healthcare
C01478,Normal,Entertainment
C01479,Normal,Dining
C01480,Normal,Healthcare
C01481,Dormant,Grocery
C01482,Engaged,Lifestyle
C01483,Normal,Dining
C01484,Engaged,Travel
C01485,Engaged,Entertainment
C01486,Normal,Travel
C01487,Dormant,Entertainment
C01488,Normal,Shopping
C01489,Normal,Travel
C01490,Engaged,Electronics
C01491,Engaged,Dining
C01492,Engaged,Healthcare
C01493,Dormant,Travel
C01494,Engaged,Grocery
C01495,Normal,Lifestyle
C01496,Normal,Travel
C01497,Normal,Lifestyle
C01498,Normal,Fuel
C01499,Engaged,Electronics
C01500,Normal,Healthcare
